latitude,longitude,heighting,angle_deg,depth_cgr,feature_identification,anomaly_dim_class,depth,length,width,erf_b31g
16.7619619,82.2327028,0.351,327.0,0.56925,Pipe mill anomaly,AXSL,2.277,54.0,19.0,0.91
16.7646442,82.2313158,0.859,163.5,0.5175,Pipe mill anomaly,PINH,2.07,20.0,18.0,0.91
16.7646269,82.2307133,0.654,275.0,0.5175,Pipe mill anomaly,AXSL,2.07,42.0,18.0,0.91
16.7656947,82.2270672,0.549,332.0,0.56925,Pipe mill anomaly,PITT,2.277,52.0,27.0,0.91
16.7740028,82.2228375,-23.503,10.000000000000053,0.635,Pipe mill anomaly,AXSL,2.54,29.0,18.0,0.91
16.7783753,82.2131572,-0.589,343.5,0.43,Pipe mill anomaly,PITT,1.72,47.0,31.0,0.91
16.7794736,82.2111019,-1.905,291.99999999999994,0.43,Pipe mill anomaly,PITT,1.72,41.0,24.0,0.91
16.7804408,82.2101308,-2.016,71.0,0.43,Pipe mill anomaly,AXGR,1.72,57.0,19.0,0.91
16.7808783,82.2097036,-2.5,342.0,0.43,Pipe mill anomaly,PITT,1.72,32.0,18.0,0.91
16.7811667,82.2094097,-2.552,222.5,0.43,Pipe mill anomaly,PITT,1.72,23.0,19.0,0.91
16.7826575,82.2078569,-1.043,80.5,0.43,Pipe mill anomaly,PITT,1.72,31.0,22.0,0.91
16.7842206,82.2062008,-1.47,255.49999999999997,0.43,Pipe mill anomaly,CISL,1.72,12.0,18.0,0.91
16.7869361,82.2030992,0.247,333.5,0.43,Pipe mill anomaly,PITT,1.72,24.0,18.0,0.91
16.7871669,82.2027025,0.312,194.5,0.43,Pipe mill anomaly,CISL,1.72,16.0,18.0,0.91
16.7880819,82.2011478,-0.979,290.5,0.43,Pipe mill anomaly,PITT,1.72,25.0,18.0,0.91
16.7882631,82.2008594,-0.786,59.99999999999999,0.43,Pipe mill anomaly,PITT,1.72,47.0,69.0,0.91
16.7888469,82.1999158,0.26,197.49999999999997,0.43,Pipe mill anomaly,PITT,1.72,36.0,24.0,0.91
16.789155,82.1994156,0.461,263.0,0.43,Pipe mill anomaly,PITT,1.72,35.0,20.0,0.91
16.7896711,82.1985378,-0.373,29.999999999999996,0.43,Pipe mill anomaly,PITT,1.72,32.0,18.0,0.91
16.7897147,82.1984628,-0.469,223.99999999999997,0.43,Pipe mill anomaly,PITT,1.72,34.0,19.0,0.91
